model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_20,0.5,0.5,0.02392766284303358,0.036609550231628984,2,-0.0018229251810904779,41.333333333333336,-0.0021830907836411016
xgb_05,0.1,0.5,0.02392026804730193,0.03721564244880074,2,-0.001947908182743467,13.0,-0.0021830907836411016
xgb_25,0.25,0.5,0.02390980962758762,0.03722893610344828,2,-0.0016754292835803209,127.33333333333333,-0.0021830907836411016
xgb_10,0.1,0.5,0.023895441390160796,0.036586852718658046,2,-0.0019911194177838426,106.66666666666667,-0.0021830907836411016
xgb_21,0.25,0.25,0.02389447135690462,0.03663269001914419,2,-0.001861501234862702,41.333333333333336,-0.0021830907836411016
xgb_21,0.25,0.5,0.02389447135690462,0.03663269001914419,2,-0.001861501234862702,41.333333333333336,-0.0021830907836411016
xgb_20,0.5,0.25,0.023891675655955458,0.036609550231628984,2,-0.0018229251810904779,41.333333333333336,-0.0021830907836411016
xgb_28,0.1,0.25,0.023890719419025208,0.03620719937274227,2,-0.0020362069503455493,30.333333333333332,-0.0021830907836411016
xgb_20,1.0,0.5,0.023888884437945776,0.035895523222781264,2,-0.0015673230299734747,41.333333333333336,-0.0021830907836411016
xgb_13,1.0,0.1,0.023886110381242248,0.03650850381158524,2,-0.0015908124450579864,31.0,-0.0021830907836411016
xgb_19,0.25,0.1,0.023885785471274856,0.036051961482575175,2,-0.0019360607012145013,90.0,-0.0021830907836411016
xgb_25,0.25,0.25,0.023878197232265436,0.03722893610344828,2,-0.0016979377384774268,127.33333333333333,-0.0021830907836411016
xgb_23,1.0,0.25,0.023877436356389423,0.03567366682746315,2,-0.0015389035284684193,39.666666666666664,-0.0021830907836411016
xgb_18,0.1,0.25,0.02387480507811816,0.03614603925425154,2,-0.0019166099738831225,34.666666666666664,-0.0021830907836411016
xgb_01,0.5,0.5,0.023874060332235107,0.03670322394517503,2,-0.0015692919830198823,26.666666666666668,-0.0021830907836411016
xgb_30,0.1,0.5,0.023873972904063196,0.036370854107855295,2,-0.0017827984674812392,10.666666666666666,-0.0021830907836411016
xgb_18,0.1,0.5,0.02387249363415912,0.03613910492237442,2,-0.0019166099738831225,34.666666666666664,-0.0021830907836411016
xgb_22,0.75,0.1,0.023862709403591847,0.03687990661911484,2,-0.0017873205128804217,38.333333333333336,-0.0021830907836411016
xgb_30,0.25,0.5,0.023858105782461742,0.03664305312116714,2,-0.001740853881994889,10.666666666666666,-0.0021830907836411016
xgb_07,0.5,0.25,0.023852039159855103,0.03681895793449577,2,-0.001598917587546657,177.33333333333334,-0.0021830907836411016
xgb_07,0.5,0.5,0.023852039159855103,0.03681895793449577,2,-0.001598917587546657,177.33333333333334,-0.0021830907836411016
xgb_01,0.75,0.25,0.023840619108307676,0.035875033486360106,2,-0.0012482392683996733,26.666666666666668,-0.0021830907836411016
xgb_17,0.25,0.1,0.023839757095563675,0.03629685164402978,2,-0.0022320917890744116,19.333333333333332,-0.0021830907836411016
xgb_05,0.1,0.25,0.023839095574152067,0.03721564244880074,2,-0.001947908182743467,13.0,-0.0021830907836411016
xgb_04,0.05,0.25,0.02383529753083417,0.03645734122459242,2,-0.002148232979919846,211.0,-0.0021830907836411016
xgb_04,0.05,0.5,0.02383529753083417,0.03645734122459242,2,-0.002148232979919846,211.0,-0.0021830907836411016
xgb_03,0.1,0.5,0.023834916316033638,0.036772203065843466,2,-0.0018615538341925219,28.666666666666668,-0.0021830907836411016
xgb_20,0.1,0.5,0.02382417979164453,0.036145227423571506,2,-0.002015850175743688,41.333333333333336,-0.0021830907836411016
xgb_30,0.25,0.25,0.02381849104647406,0.0365242089132041,2,-0.001740853881994889,10.666666666666666,-0.0021830907836411016
xgb_24,0.25,0.5,0.0238183370738476,0.03702815898706213,2,-0.0015404594233830611,31.0,-0.0021830907836411016
xgb_30,0.1,0.25,0.02380478813459001,0.03616329979943573,2,-0.0017827984674812392,10.666666666666666,-0.0021830907836411016
xgb_20,1.0,0.25,0.02380144599161894,0.035895523222781264,2,-0.0015673230299734747,41.333333333333336,-0.0021830907836411016
xgb_20,0.1,0.25,0.02379705431694872,0.03606385099948408,2,-0.002015850175743688,41.333333333333336,-0.0021830907836411016
xgb_24,0.25,0.25,0.023795086666965476,0.03702815898706213,2,-0.0015732839238092374,31.0,-0.0021830907836411016
xgb_17,0.1,0.25,0.023791906968664813,0.03602437972006902,2,-0.002254876931643318,19.333333333333332,-0.0021830907836411016
xgb_17,0.1,0.5,0.023791906968664813,0.03602437972006902,2,-0.002254876931643318,19.333333333333332,-0.0021830907836411016
xgb_19,0.5,0.5,0.023791122149957388,0.03624025266819475,2,-0.0015943798073293517,90.0,-0.0021830907836411016
xgb_01,0.5,0.25,0.023790440447834498,0.0364523642919732,2,-0.0016064021388211905,26.666666666666668,-0.0021830907836411016
xgb_19,0.5,0.25,0.023787247082143703,0.03622862746475369,2,-0.0015943798073293517,90.0,-0.0021830907836411016
xgb_22,0.25,0.5,0.023787187886418242,0.03612542961470383,2,-0.0017372164595030092,38.333333333333336,-0.0021830907836411016
xgb_10,0.1,0.25,0.023785579818460485,0.036257268003557115,2,-0.0019911194177838426,106.66666666666667,-0.0021830907836411016
xgb_17,0.1,0.1,0.023784896931468975,0.03598788887873508,2,-0.002254876931643318,19.333333333333332,-0.0021830907836411016
xgb_19,1.0,0.5,0.023783449756658415,0.036006622859212495,2,-0.0011229345596083266,90.0,-0.0021830907836411016
xgb_03,0.25,0.5,0.02378265259356389,0.036641183129453914,2,-0.001605032693501086,28.666666666666668,-0.0021830907836411016
xgb_06,0.75,0.5,0.02377380004733586,0.03644124799503285,2,-0.0016626791029835132,36.333333333333336,-0.0021830907836411016
xgb_27,0.25,0.5,0.023771507303336104,0.03665855604113537,2,-0.0018875499716715103,14.333333333333334,-0.0021830907836411016
xgb_03,0.25,0.25,0.0237692681350317,0.03660102975385735,2,-0.001637857193927262,28.666666666666668,-0.0021830907836411016
xgb_01,0.1,0.5,0.02376825923284538,0.036622047498954945,2,-0.0019254931887402015,26.666666666666668,-0.0021830907836411016
xgb_22,0.25,0.25,0.023763937479536118,0.03605567839405747,2,-0.0017700409599291855,38.333333333333336,-0.0021830907836411016
xgb_17,0.05,0.25,0.023760903125774238,0.036018978993293815,2,-0.002254876931643318,19.333333333333332,-0.0021830907836411016
